id,bill_id,related_bill_id,identifier,legislative_session,relation_type
3e230793-4dc6-4ef5-b17a-fed4711cf2b6,ocd-bill/75bee177-fcfe-454a-bf83-7f1379ca619c,ocd-bill/03a7997f-5db6-4e9a-8791-27832a653795,HD 4491,194th,replaces
7f502626-93e7-43f7-9275-1f6e7aa6a12b,ocd-bill/3658c81e-8b2e-45f0-9a4b-fefd9725be4d,,HD 5289,194th,replaces
b625d8c6-895e-467f-b907-42dd2ebf704a,ocd-bill/e3383d47-70cd-47c5-b7a3-9f1f367997ad,ocd-bill/79305206-9976-4d41-b9bf-4b4c19f75bae,HD 4522,194th,replaces
54a14c39-359a-4d27-83b4-3e4bfc88fb49,ocd-bill/82dc1082-12a0-4dea-8599-7878653334fc,,SD 3578,194th,replaces
203f287f-8c2e-42bc-aa4d-5e2f75f61eba,ocd-bill/8677cf4e-bccb-4243-a2e5-da4dbbd04d45,ocd-bill/28d1ad72-473c-4577-8416-eaf4e4ac629e,SD 3091,194th,replaces
c241c535-44d0-4a6e-a267-cdc6636b784f,ocd-bill/fb1741da-1e44-4983-8048-1ea419e12219,ocd-bill/21db0c18-a0c6-4513-80f9-a324beaff542,HD 5438,194th,replaces
c4722ebe-0510-4ef8-887d-488242ac76b9,ocd-bill/3bff9d41-3ac2-4ab3-b2c3-86fe234eb397,ocd-bill/6afdb9f3-34e7-414c-a32d-225d7e150c9d,HD 5431,194th,replaces
37b60c04-a0e6-450b-a4d9-fc8471eb50fe,ocd-bill/6f9e3810-ed63-434f-aacc-e7c98a35a9d0,ocd-bill/fc96525d-e77b-4ad0-9ed5-e078e9f996a2,HD 4983,194th,replaces
f3807bf7-4db8-4d39-83f4-376a7d102e91,ocd-bill/3c9c245d-97f2-40f9-b75c-9ac96486b926,,HD 5394,194th,replaces
1f9966fc-215f-4b85-be88-6bd19b286077,ocd-bill/8e43b5a4-fb92-4410-b6ee-3d36802fba3f,,HD 5396,194th,replaces
c696cfbe-2b74-4631-806a-e5275d26e3b9,ocd-bill/dd5b4bb2-8229-45c6-b9ae-159d0436c90f,,HD 5386,194th,replaces
1e9e245c-bed5-4f22-ae0f-ee43585b783b,ocd-bill/3e950570-8f61-4f27-b7ce-109cf8b200b5,ocd-bill/cf325fcd-71d0-495a-a031-2f51143e459a,HD 3803,194th,replaces
dba36ff6-e7da-4910-878e-56327f77f379,ocd-bill/8bd3d2f6-41f5-4734-b752-08bd0677c45e,,HD 5393,194th,replaces
734fd26c-c7f3-4c00-9ac8-02ee0d01bf10,ocd-bill/9ae948c4-c6fe-49a9-ab37-1d28f67fa531,,HD 5395,194th,replaces
