id,bill_id,note,date,classification,extras
d70fbec7-8f06-40e0-844e-d0d61f06c678,ocd-bill/0397f157-f2d2-4633-8664-74d4b000a8e8,Bill Text,,,{}
70a06b77-3a5c-424f-9975-0a25af4460fd,ocd-bill/f8ceb1af-2b5b-4d43-aff8-8bc5e95f22f5,Bill Text,,,{}
f814b338-926d-4c3a-9236-a9b6203921a9,ocd-bill/6ead2d9e-eb0a-4623-a50c-8a671189ec76,Bill Text,,,{}
a1dc34ab-9862-4d9e-805b-9ca3841484d9,ocd-bill/8feee675-49a8-4767-a243-881cb4ec5c17,Bill Text,,,{}
06adff0f-a9a2-4f8c-86b9-86fe0230da38,ocd-bill/80e85153-12e5-410b-a8e9-a39adde8c05e,Bill Text,,,{}
2111cf1e-70dc-4f23-b829-bce249fdde46,ocd-bill/21272fe3-7296-45d5-9f9f-8ebdaf537027,Bill Text,,,{}
30d22347-1bcc-443b-b95d-09f3412b413b,ocd-bill/546d1e13-22ac-452c-890f-0353053c49d7,Bill Text,,,{}
312ac974-b1ac-43a3-af79-9d289db6a023,ocd-bill/c3c123a2-5bf6-45f8-9217-1b18cd1498d3,Bill Text,,,{}
bc3ce36f-d5f2-470e-974a-15679ad765de,ocd-bill/978acb1c-f89c-4313-b1f3-2d975ca3ecf4,Bill Text,,,{}
0c098746-6a01-4725-adec-17b256e80c57,ocd-bill/db9880b9-48fa-4e78-bae6-5f20b81f3dc1,Bill Text,,,{}
f5a9911a-948f-4db5-8999-add6c3da1260,ocd-bill/c56ec734-b5b3-41c4-881d-6143794723d3,Bill Text,,,{}
a7fa9711-d8dd-42a5-be0a-61e244e36399,ocd-bill/9c5a24b4-ebc9-4622-b050-65c5736398db,Bill Text,,,{}
545589d2-7570-4a1a-aa76-8c8d7cd73180,ocd-bill/14ddacab-8fbc-4a49-a85e-101ac33ee0d5,Bill Text,,,{}
897d35da-f442-4c7f-8f97-2523cf6d9c43,ocd-bill/a8103e5a-da22-4e55-b278-89e384e2cb37,Bill Text,,,{}
4164efb9-7827-4b95-bf47-8591e92c2557,ocd-bill/f202dcef-fd72-43dc-b860-f9a52e947b0c,Bill Text,,,{}
ed4787ad-b56c-4080-872a-d91cb042f38b,ocd-bill/0cf9c80e-180d-4cee-95c6-54dbe8c69f1b,Bill Text,,,{}
bfa2493a-1517-4cee-b872-8143da7bdd8b,ocd-bill/27d5bdb8-34ee-42a9-865a-4de2ae30f200,Bill Text,,,{}
e72806a3-9e28-47e3-a79c-2fada4cb5baf,ocd-bill/818b1f43-e433-4d59-8344-86ac54e73e80,Bill Text,,,{}
4e5835f8-e7e6-43b3-ad22-3910f4efb8ec,ocd-bill/ec901dc2-ac9d-4395-9d7a-96564e8665ce,Bill Text,,,{}
25daccb9-68e3-42de-b0bc-5eda8b388cad,ocd-bill/92445d92-04ba-4e66-b2ea-9c722fafc6db,Bill Text,,,{}
9e9558fd-6652-488a-8f2c-024fb584d6de,ocd-bill/9e6846d5-8144-458a-9f53-1871e8342a00,Bill Text,,,{}
16cfb8af-54e3-45cd-a3d7-231aa1c3910e,ocd-bill/2cc349ee-5116-4d4a-9a4d-ea06372fc1d0,Bill Text,,,{}
fa4f0e2e-51c1-45aa-a182-ad9a8fd13ac8,ocd-bill/459e9fa6-679c-400f-92fe-c0d3f1473a9e,Bill Text,,,{}
3023fd3b-c222-457c-ba45-178dafe587b6,ocd-bill/9688bfaf-7c27-4edb-bfc1-237e8904ae5c,Bill Text,,,{}
06e167b6-ab7f-4d20-9fbe-e62475a119ef,ocd-bill/2629f884-f5ca-4c5c-8f15-b4ee4a418ddf,Bill Text,,,{}
912f179e-1893-4de3-b097-500a8639bf0b,ocd-bill/d5871f92-3016-4c4a-b6a2-eb0529fc5436,Bill Text,,,{}
287e5acb-51b1-4b38-8ae1-6dcce48d3802,ocd-bill/0a37c710-07fc-4dd7-813c-e4c1b748c818,Bill Text,,,{}
19086dd6-7119-4290-945f-2300ebbb8549,ocd-bill/503af650-767a-4d4f-b5bb-27a0440c5ef4,Bill Text,,,{}
69403558-af16-41d8-9625-57bad5180fd2,ocd-bill/6c1b1623-eb8a-4ed2-bfc4-029f47181e52,Bill Text,,,{}
41061829-e682-4f2a-917b-321e414cf427,ocd-bill/255612a4-cca8-41ff-b299-f96a61f10a28,Bill Text,,,{}
3f4c3c19-866c-4c0d-a264-20d6c833b4c7,ocd-bill/6cf7ec01-18ae-4dfd-b9a7-06e7be01f6d2,Bill Text,,,{}
8b479444-5eaf-42d6-af84-86acf0b1cd6f,ocd-bill/8b7134bb-2123-43d8-a6d3-a3d05c572d54,Bill Text,,,{}
