id,bill_id,identifier
a46d8538-2d27-46ee-b3a0-c052fd146c1b,ocd-bill/e65bfab0-b164-4ea1-945e-8fa643dbe06f,ocd-bill-ma-194th-sd2787
68dde026-1395-43f2-b3f5-e8a5719d1934,ocd-bill/5cba03d6-4aba-4fc4-90e8-24ed25295716,ocd-bill-ma-194th-sd2895
cbfab04d-dbaa-44b2-b831-0e8dbbe676dc,ocd-bill/c4dce9ac-dc38-4dc9-a913-fe20ace8b87e,ocd-bill-ma-194th-sd3041
ae410d55-64c9-4a05-9f62-7793cdb8d11c,ocd-bill/11b4f5cd-a43c-4dc7-a8c0-16a2fc745256,ocd-bill-ma-194th-sd2799
09548658-12c1-4f4c-a3dd-04e24cd5c653,ocd-bill/62604ed7-5671-4bdf-af40-a10a7afe0254,ocd-bill-ma-194th-sd2783
7a1a5b1c-5c0e-42ae-8550-781e44495913,ocd-bill/ee143625-784e-40ae-b5c4-ae5ce9208086,ocd-bill-ma-194th-hd4682
26675071-a8c7-4a92-a401-f03209d60455,ocd-bill/22836d5b-531f-43f0-af95-a3bd3dd1bd6c,ocd-bill-ma-194th-h4689
16a71e52-65f1-457e-8dc8-26fa9adbe2cf,ocd-bill/eee46789-20bf-4cec-b764-40d56a77b38c,ocd-bill-ma-194th-s2532
0cf277d5-310f-450e-b2d8-af72d4b1e686,ocd-bill/43c80fda-e9a1-40eb-a64d-9525ae8cda4b,ocd-bill-ma-194th-h3930
dbe0d2d9-73f6-457d-841d-952e1f760861,ocd-bill/44a53853-fa1a-4ca9-8f34-0bf1ece02312,ocd-bill-ma-194th-sd2878
e48429ff-eca3-4e12-844c-8ba5202a34ea,ocd-bill/949f7e3d-f6eb-45b2-8285-560efec0e2da,ocd-bill-ma-194th-hd4675
26352e97-4f72-4703-a155-fb6d5cc83979,ocd-bill/f41447ac-d9c9-4556-bfe3-af739ed6f265,ocd-bill-ma-194th-h3979
f37f807d-2323-441f-9922-f4582e9c518c,ocd-bill/592b1553-76b8-49a0-a7b3-13bbf26a7ac1,ocd-bill-ma-194th-hd4286
b7707a59-e4ba-446d-92e3-e32e2b206aca,ocd-bill/fb240f43-18d2-4624-aaed-39e4d30d0527,ocd-bill-ma-194th-h1951
cdef3e44-88c2-4dda-b2fc-09c7117bdd0d,ocd-bill/9ea53135-19c0-4e25-ab64-39dec581d9cf,ocd-bill-ma-194th-hd4680
bfb34212-a06a-4118-8bce-f7f58f047f53,ocd-bill/6ef56cbc-2b6a-4659-8c35-f8c845d3517d,ocd-bill-ma-194th-hd4320
100da626-2c8d-4a4d-9ebb-f7b41f11906a,ocd-bill/f1c91caa-3458-4c2e-bb08-137657cd07e5,ocd-bill-ma-194th-h899
5d7b574e-6826-474d-96ec-b5da0e972d22,ocd-bill/dfb616b8-f251-452b-8ffe-e9e66f02f403,ocd-bill-ma-194th-hd4375
fc65fcff-55fc-4a02-bdd4-7a019a3525e4,ocd-bill/4ef35e9a-73d2-4d2f-86c2-a9483c518131,ocd-bill-ma-194th-s2574
ff3501e7-4bc3-432f-8cd3-fff35be59675,ocd-bill/ed5efafd-0d8c-4151-bec2-ee1e962a3902,ocd-bill-ma-194th-sd2985
e8eaf791-ee9f-4501-94ad-2d8dc93e0542,ocd-bill/8789d334-8820-44be-9b23-b78aa62e0be3,ocd-bill-ma-194th-sd2717
4ef51be5-0ab8-42cf-acf5-607ceb40b64f,ocd-bill/3a555102-f25d-4fc0-aa9e-cffd1224ba40,ocd-bill-ma-194th-sd2718
5b08a554-c3d7-4df9-a004-a61796a32578,ocd-bill/bca336bf-fa14-46a6-8b38-0a9a7cd79a4d,ocd-bill-ma-194th-sd2798
59548ba2-611a-4cb1-9357-0119e58e2135,ocd-bill/b94e9004-0299-4fe7-91ea-8c87abfd13fe,ocd-bill-ma-194th-sd2865
5a8e3d35-53bf-497e-8e75-92646e83dc6a,ocd-bill/dcb0f3d1-8136-450b-8e93-5cfcac8d3728,ocd-bill-ma-194th-h1896
14f4c3ca-2671-4f01-af65-337dbcd56547,ocd-bill/f9dd425e-b0bd-425c-beb5-902f448ee56e,ocd-bill-ma-194th-h3553
da862e8e-c0f2-498c-b27f-bab0fcbc741f,ocd-bill/6344cf3d-eab9-4bf2-a3ca-133ec06affc9,ocd-bill-ma-194th-s2637
1e91e12d-3301-47a4-8104-e0995057ee3d,ocd-bill/4138bd0d-5954-4b42-b2b8-5d4a752a6171,ocd-bill-ma-194th-h4055
410cf4fb-da0e-4666-8807-1168df832515,ocd-bill/8b9267d5-5705-4012-a51b-1e8548fee3be,ocd-bill-ma-194th-hd4552
e0129ff2-c740-413d-87e8-195a2068ad43,ocd-bill/cb12f80c-6fba-4993-9b3b-5229e50cd4d7,ocd-bill-ma-194th-sd2966
dd9b696d-8a0f-4ebc-a2b3-ad8646653e9e,ocd-bill/f7483b74-7cd4-43a3-9e25-6d0ca75ec50b,ocd-bill-ma-194th-hd4428
8b1eb195-5346-4628-b5b3-a691d5dbb9c8,ocd-bill/6a4b3c5d-cdfe-4feb-8e71-5a3eb12062e0,ocd-bill-ma-194th-hd4317
0c6fe05e-153f-4471-8be7-882eb369f8fd,ocd-bill/ac699958-c750-48e2-8c00-2c6ee2b585e0,ocd-bill-ma-194th-h3907
01f16c67-ff44-4012-931e-15b599a2e28f,ocd-bill/98a0d432-2679-4542-bb04-2d11a881a3e5,ocd-bill-ma-194th-sd3027
c9fb7825-7c40-4fb5-9adc-b84634eeaf40,ocd-bill/1d3e3ac3-4d9f-485f-9e5e-ef2f7cfbe5f3,ocd-bill-ma-194th-hd4642
30d6ea49-149c-48cf-9798-62f389f69e36,ocd-bill/6f587fe2-7125-415e-b7e1-90307b62a7ec,ocd-bill-ma-194th-sd2994
7839b3a2-ca9b-4a26-b5b6-e302b1429d4e,ocd-bill/3c98c0c6-b4c3-4ef5-afda-12da8cea8867,ocd-bill-ma-194th-hd4614
5d4c10ba-f2e5-462f-9a81-9150fb254d59,ocd-bill/07c70961-1771-47d9-a6cb-78f13320f0e6,ocd-bill-ma-194th-sd2736
b5805d4e-09c6-492e-9ac6-629899894038,ocd-bill/b7b4fcc4-79e8-4041-9e3e-2a91a9842d93,ocd-bill-ma-194th-sd3000
