id,bill_id,note,date,classification,extras
547edec3-2441-4807-b256-6733c82b2182,ocd-bill/031e46d1-a9b7-4f7e-b42c-b2c7bc899365,Bill Text,,,{}
d8c4c54d-3213-4ace-8864-24d09853904c,ocd-bill/d2799ba7-c218-4e1d-a1a1-e7958dbeae3e,Bill Text,,,{}
57350f83-c7a4-46d1-bd24-001b406abc55,ocd-bill/aca4980e-abe3-4f17-8273-5c9ba335e12f,Bill Text,,,{}
9084ba73-7be2-4c7d-a24d-9cd4926403bf,ocd-bill/bbdd643e-c7a5-49eb-837b-9b37879f1219,Bill Text,,,{}
5a17d49b-4fae-46c1-9422-ab4eac18d576,ocd-bill/3965f63b-62f5-45f6-a0bf-80af9408c794,Bill Text,,,{}
a1f7199f-586e-405f-a7dc-f99c39cf3415,ocd-bill/16418d25-f1cd-4334-8ff3-b31414c6aa6d,Bill Text,,,{}
086a9605-2aa7-4e39-a9bf-5397ad263d3e,ocd-bill/bf64d08b-9c35-47f7-b97f-a16c6307e032,Bill Text,,,{}
9d86662b-9126-4f5e-b299-e9cdebf2d7b5,ocd-bill/f53edec7-100b-4643-8b55-8817e0abddbd,Bill Text,,,{}
5e756f64-0a25-4595-9e3f-d6c356ad95bb,ocd-bill/5def178b-5f2e-4f99-930d-1cde2c7e0092,Bill Text,,,{}
eef4d55b-5ace-4f6f-937f-db732eb82f45,ocd-bill/616c965a-6898-4fe7-8571-afb311e24559,Bill Text,,,{}
dd779e72-8f25-4a7c-8da7-262ec0eed5ee,ocd-bill/1e40670e-3ead-48c0-98d8-6bd50e41c307,Bill Text,,,{}
e745fe00-0602-44e1-9ba2-5535d10d5f73,ocd-bill/adc336d0-722a-4926-8387-655e425afec6,Bill Text,,,{}
9dd68517-1c25-4654-87d0-5f4e775e83d2,ocd-bill/41ce08ae-c744-4a26-b1e6-7144281c9993,Bill Text,,,{}
c5b4ccb3-e9d7-4da3-b761-d2c922ce4a2d,ocd-bill/e1cc520f-fd01-4d4e-ae4a-37421c1a6ec6,Bill Text,,,{}
