id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/9cadae83-0359-475b-b3a9-35c4a82aefcd,H 2106,An Act promoting police and youth partnership,['bill'],[],191st,Massachusetts,lower
ocd-bill/de1218e9-370d-43f7-a9d4-a22ff796ed33,S 681,An Act relative to maintenance of certification,['bill'],[],191st,Massachusetts,upper
ocd-bill/8b04f5e0-80dd-47f5-ac2e-9efc38a2bcf0,H 3066,An Act to provide identification to homeless youth and families,['bill'],[],191st,Massachusetts,lower
ocd-bill/5def178b-5f2e-4f99-930d-1cde2c7e0092,H 4531,An Act ensuring access to addiction services,['bill'],[],191st,Massachusetts,lower
ocd-bill/088a9bea-4bac-4851-950b-a401f83acd6f,H 3235,An Act increasing access to medical care for veterans,['bill'],[],191st,Massachusetts,lower
ocd-bill/811c2fc1-6775-442e-a21c-7a98afa5481f,H 225,An Act authorizing the town of Plainville to grant additional licenses for the sale of alcoholic beverages,['bill'],[],191st,Massachusetts,lower
ocd-bill/e72d7964-db75-450b-a563-b3fa75639964,H 1523,An Act prohibiting gunfire directed at dwelling houses,['bill'],[],191st,Massachusetts,lower
ocd-bill/46326936-bd87-4049-9eaa-b02a862d97bd,S 720,An Act to strengthen the management of the health care connector,['bill'],[],191st,Massachusetts,upper
ocd-bill/1d972c11-1dad-4a84-bae5-a421df47dc0a,HD 5044,An Act authorizing the city known as the town of Barnstable to grant an easement,['bill'],[],191st,Massachusetts,lower
ocd-bill/c6b88b5b-31e0-4d15-9676-aecc0628c23b,S 724,An Act relative to Mass Health Eligibility Checks,['bill'],[],191st,Massachusetts,upper
ocd-bill/9247230a-009a-48d3-ab49-b0a814f09f5d,H 4754,An Act relative to commissioned employees,['bill'],[],191st,Massachusetts,lower
ocd-bill/34414377-f85a-45fa-a157-7804fd398cca,SD 2953,An Act to protect communities of color,['bill'],[],191st,Massachusetts,upper
ocd-bill/4e9c04c5-1d94-4c4d-8761-5a9f0ffe3f28,H 4652,An Act regarding decarceration and COVID-19,['bill'],[],191st,Massachusetts,lower
ocd-bill/6eca6393-ca64-40c3-b4d9-fa06c6f79e48,H 4755,An Act establishing a COVID-19 nonprofit cultural organizations emergency relief fund,['bill'],[],191st,Massachusetts,lower
ocd-bill/aca4980e-abe3-4f17-8273-5c9ba335e12f,H 4532,An Act relative to opioid drug manufacturer assessments,['bill'],[],191st,Massachusetts,lower
ocd-bill/869336e6-d354-41f0-9a14-51e09c7d2047,HD 5041,An Act relative to internet speed during the COVID-19 outbreak,['bill'],[],191st,Massachusetts,lower
ocd-bill/c969d325-913f-471e-9850-807adf59855a,H 248,An Act relative to the disclosure of toxic chemicals in children’s products,['bill'],[],191st,Massachusetts,lower
ocd-bill/bb44c2b5-33b0-4194-b95c-397d61348ec1,HD 5033,An Act relative to school trip refunds for parents ,['bill'],[],191st,Massachusetts,lower
ocd-bill/0837ecf6-3847-4abe-89e5-68aae95cd6e0,H 4434,An Act to promote student nutrition,['bill'],[],191st,Massachusetts,lower
ocd-bill/48d772a1-5f2a-4d90-885a-a76f1d819c6b,H 4537,An Act relative to recovery coach licensure,['bill'],[],191st,Massachusetts,lower
ocd-bill/60e7a955-e7c3-425e-9daf-7fae7f92efba,S 704,An Act to provide Medicaid coverage for tobacco cessation,['bill'],[],191st,Massachusetts,upper
ocd-bill/2260ae75-f295-4665-b5ca-82da6af9ae5e,HD 5039,An Act relative to emergency paid sick time,['bill'],[],191st,Massachusetts,lower
ocd-bill/ec853b33-6a52-4294-b08e-bd1c53757a62,H 4119,Resolve establishing a special commission on post traumatic stress disorder,['bill'],[],191st,Massachusetts,lower
ocd-bill/e643922e-3796-4b5d-a8c3-32c564f2f88b,HD 5042,An Act assisting non-profits to provide for COVID-19 unemployment benefits,['bill'],[],191st,Massachusetts,lower
ocd-bill/f0360659-ae8e-4e37-aa83-49865f0b2a3c,H 2138,An Act expanding professional development for state university and community college campus police officers,['bill'],[],191st,Massachusetts,lower
ocd-bill/9299e86b-6c2b-4cc7-8cbd-03ca83d6b1cc,HD 5038,"An Act to provide liability protections for contractors, sub-contractors and unions during the COVID-19 Pandemic",['bill'],[],191st,Massachusetts,lower
ocd-bill/c4ed02ca-6e41-41f1-8935-9017046658d7,S 674,An Act to ensure effective health care as a right,['bill'],[],191st,Massachusetts,upper
ocd-bill/a186dd66-d7e6-4613-8976-90c1d33b7ed9,H 4674,Extension Order H.4674,['bill'],[],191st,Massachusetts,lower
ocd-bill/b1b45afb-94d3-4f8e-9cbc-548d6306c828,H 4269,An Act relative to dental licensing exams,['bill'],[],191st,Massachusetts,lower
ocd-bill/7ee348e7-e053-4159-8505-18fa857392f2,H 311,An Act relative to protecting residential electric customers,['bill'],[],191st,Massachusetts,lower
ocd-bill/1b658569-6779-47f0-ae79-1db448f74b36,H 4656,"An Act establishing a sick leave bank for Jennifer Brown, an employee of Department of Children and Families (DCF)",['bill'],[],191st,Massachusetts,lower
ocd-bill/6d1d9051-699e-4df2-940f-2dc513c29df3,S 57,An Act concerning public assistance for working families and the creation of a pilot program to address the impacts of the cliff effect,['bill'],[],191st,Massachusetts,upper
ocd-bill/830a39a2-8738-431e-96cb-795e3cd592aa,S 702,An Act to establish the family caregiver tax credit,['bill'],[],191st,Massachusetts,upper
ocd-bill/e6e5839b-0095-4329-b55b-a3b40c4a456f,H 4126,An Act relative to transparency in employee benefits reporting in private construction,['bill'],[],191st,Massachusetts,lower
ocd-bill/7fc41808-53b4-4fe1-8c83-24fde52ab79b,H 3841,An Act to require public universities to provide medication abortion,['bill'],[],191st,Massachusetts,lower
ocd-bill/afd26de2-4bd2-4f24-8bda-a271c6ab9df7,S 672,An Act relative to the closing of hospital essential services,['bill'],[],191st,Massachusetts,upper
ocd-bill/bb50b548-e92b-448b-a74a-d8102062adac,SD 2934,An Act relative to manufacturing and factory worker protection from COVID-19,['bill'],[],191st,Massachusetts,upper
ocd-bill/21d0f170-71ef-445e-8607-0fd76c17225f,S 706,An Act to ensure prescription drug cost transparency and affordability,['bill'],[],191st,Massachusetts,upper
ocd-bill/3f863e10-1875-4c77-a7b0-a0b86fe25129,H 13,An Act relative to horse racing and wagering,['bill'],[],191st,Massachusetts,lower
ocd-bill/96f20e77-442e-4562-ad87-8188a994b5b2,HD 5073,An Act relative to the quorum requirement for open town meetings during the COVID-19 pandemic,['bill'],[],191st,Massachusetts,lower
ocd-bill/1d0c4201-50fa-46ed-a5be-b5a4ef9baf90,S 721,An Act relative to mandatory prescription drug coverage,['bill'],[],191st,Massachusetts,upper
ocd-bill/a482ae5c-46c0-4677-b03d-9715bad1e90a,H 2785,An Act relative to landscape sprinkler systems,['bill'],[],191st,Massachusetts,lower
ocd-bill/7259e111-94fd-47e1-aa19-28632807ff7d,HD 5040,An Act relative to providing relief for micro businesses for the duration of executive order 591 in response to the COVID-19 outbreak,['bill'],[],191st,Massachusetts,lower
ocd-bill/978d85f9-7517-47eb-b5e2-f489508a5550,H 4523,An Act relative to vertical integration of medical marijuana businesses,['bill'],[],191st,Massachusetts,lower
ocd-bill/b805b486-7e5a-4dfd-8fc6-4225ccc3093c,H 943,An Act establishing a commission to examine transportation fees,['bill'],[],191st,Massachusetts,lower
ocd-bill/10bde794-e963-403f-b57b-763f4a8f2f05,H 4658,An Act relative to remote notarization during COVID-19 state of emergency,['bill'],[],191st,Massachusetts,lower
ocd-bill/216f2c40-8971-4ad4-b876-737379a2a7d5,S 692,An Act providing access to patient protection services for MassHealth consumers,['bill'],[],191st,Massachusetts,upper
ocd-bill/03cc785b-ed29-4e7e-a769-06bcee0aac4b,H 4685,Extension Order H.4685,['bill'],[],191st,Massachusetts,lower
ocd-bill/205c0f92-6dde-46b4-9bd7-0449571bcfe0,S 2413,An Act to provide criminal justice reform protections to all prisoners in segregated confinement,['bill'],[],191st,Massachusetts,upper
ocd-bill/2ba53405-f969-493b-882b-2191637c0702,H 385,An Act relative to the student entrepreneurial and economic investment fund,['bill'],[],191st,Massachusetts,lower
ocd-bill/1051097a-126d-4990-b0d5-814cd9336189,H 2077,An Act relative to the transportation of illegal firearms,['bill'],[],191st,Massachusetts,lower
ocd-bill/a3c53571-1462-4e7d-84ea-7f62c3030b32,H 2112,Resolve providing for an investigation and study by a special commission relative to preparedness for natural disasters,['bill'],[],191st,Massachusetts,lower
ocd-bill/b2854df9-5d03-4f58-8985-decb8e2dbb35,H 1061,An Act regulating and insuring personal car sharing platforms,['bill'],[],191st,Massachusetts,lower
ocd-bill/e953b92e-8dba-43dd-9b95-291914bd4a4b,H 956,An Act relative to motor vehicle service contracts,['bill'],[],191st,Massachusetts,lower
ocd-bill/c04e660a-9953-482e-a6d5-853045f022db,HD 5072,"An Act relative to the quorum requirement for open town meetings during the COVID-19 pandemic
",['bill'],[],191st,Massachusetts,lower
ocd-bill/5c00d92f-3b18-4a02-a561-70a71a05cc38,H 806,An Act relative to increased access of small business to participation in energy savings services and programs,['bill'],[],191st,Massachusetts,lower
ocd-bill/be5d801c-64d6-4209-bef3-292c93db5702,H 2998,An Act concerning the safety of school children embarking and disembarking school buses,['bill'],[],191st,Massachusetts,lower
