id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/0f9e5704-68b6-478d-9a55-c95b5fbf8157,HD 1053,An Act relative to the sale of dogs and cats in the Commonwealth of Massachusetts,['bill'],[],192nd,Massachusetts,lower
ocd-bill/7275a19a-70f8-4828-ac41-9edfa93adb78,HD 1104,An Act relative to the motor vehicle excise tax,['bill'],[],192nd,Massachusetts,lower
ocd-bill/82d517d5-abd4-4fa6-9ef6-4fb9f5946720,HD 1112,An Act relative to inactive bank account fees,['bill'],[],192nd,Massachusetts,lower
ocd-bill/94509ef7-e32d-4985-ba9f-7af841bfcedf,HD 1131,An Act to establish to an industrial mill building task force,['bill'],[],192nd,Massachusetts,lower
ocd-bill/eeb119c6-2e20-43c6-ab59-38b51f481cf1,SD 497,An Act relative to the Energy Facilities Siting Board,['bill'],[],192nd,Massachusetts,upper
ocd-bill/aaab9a67-1d68-493f-8804-4bd9635a3914,SD 502,An Act relative to the Douglas State Forest Maintenance Trust Fund,['bill'],[],192nd,Massachusetts,upper
ocd-bill/b8f54687-e59b-4967-b726-8346e09c8b58,HD 1149,An Act updating interest rates for property tax abatements,['bill'],[],192nd,Massachusetts,lower
ocd-bill/92a6c03b-3718-44c2-8ec4-9fcd777850e7,HD 1129,An Act relative to the Thames River Valley,['bill'],[],192nd,Massachusetts,lower
ocd-bill/ea60d6a6-f100-4477-b41a-8258c0f406bb,HD 1075,An Act providing an income tax credit for families caring for relatives at home who are elderly or victims of Alzheimer's disease,['bill'],[],192nd,Massachusetts,lower
ocd-bill/08ad1032-33a1-4876-8d34-4c009f306f85,HD 1140,An Act relative to implementing a blue alert system in the Commonwealth,['bill'],[],192nd,Massachusetts,lower
ocd-bill/6f2dfbd4-aa97-4def-9d76-31c9abbfeb70,SD 512,An Act preventing funds deposited in children's savings accounts from counting against cash assistance benefits,['bill'],[],192nd,Massachusetts,upper
ocd-bill/3f87f70e-40be-44a2-a78d-8a020d1c2ec7,HD 1097,"An Act relative to selling tattooing, branding, body piercing kit or device to an unlicensed body art practitioner or minor",['bill'],[],192nd,Massachusetts,lower
ocd-bill/db53bf8f-5c09-4390-bf49-166e817082c9,SD 492,An Act to eliminate the tax deduction for direct-to-consumer pharmaceutical marketing,['bill'],[],192nd,Massachusetts,upper
ocd-bill/89317f35-338a-438c-86f2-c7f63080c38a,SD 517,An Act relative to private detectives and private investigators,['bill'],[],192nd,Massachusetts,upper
ocd-bill/592fe6a3-f988-47a8-aabe-ece599b7ce3c,HD 1055,An Act relative to life insurance for members of the Massachusetts National Guard,['bill'],[],192nd,Massachusetts,lower
ocd-bill/5e0e9c69-7270-4092-a7ff-656ef0cd7d38,HD 1058,An Act providing for a study to be conducted on the cost feasibility of implementing a ferry service to Long Island in Boston Harbor,['bill'],[],192nd,Massachusetts,lower
ocd-bill/d9a05fcb-feb6-4db3-9383-727f50e49e81,HD 1133,An Act expanding the right to repair law,['bill'],[],192nd,Massachusetts,lower
ocd-bill/7ddaf65d-8aeb-4085-8acd-252540568a0e,HD 1109,An Act exempting visiting trainees from certain employment requirements,['bill'],[],192nd,Massachusetts,lower
ocd-bill/4e8423c3-4af5-428e-b145-4b5e0623044d,HD 1153,An Act relative to emergency stock supply of epinephrine in schools,['bill'],[],192nd,Massachusetts,lower
ocd-bill/98ab6563-d5b2-40c0-a80f-a127e4b41cfd,HD 1076,An Act creating a commission to study the definition of affordable housing,['bill'],[],192nd,Massachusetts,lower
ocd-bill/ffcc6626-e56a-4c89-a16e-941ca53f9da9,SD 524,An Act establishing a commission to examine methamphetamine use in the Commonwealth,['bill'],[],192nd,Massachusetts,upper
ocd-bill/a713425a-e22a-481b-8624-da486bcfae97,HD 1066,An Act relative to the civilian certification of military medical personnel,['bill'],[],192nd,Massachusetts,lower
ocd-bill/3477a2da-4abb-4f9a-9c97-29778bddc2df,HD 1128,An Act relative to the Ware Fire Department,['bill'],[],192nd,Massachusetts,lower
ocd-bill/49e69d23-dce5-45fa-a454-b01a7b1b02f6,HD 1141,An Act relative to providing the next of kin of a state police officer killed in the line of duty with a flag during the memorial service,['bill'],[],192nd,Massachusetts,lower
ocd-bill/5834f85a-3f80-4b45-abca-6a1a94fa9e3d,SD 509,An Act to reduce the cost of government and create new jobs,['bill'],[],192nd,Massachusetts,upper
ocd-bill/e927abca-82bd-4cc2-b745-f24fcf3026c6,HD 1105,An Act relative to home insurance rates,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9ceba358-2414-4d55-aeb1-0862f8639d5c,HD 1099,An Act relative to civil liability for improper flood hazard determinations,['bill'],[],192nd,Massachusetts,lower
ocd-bill/d7f2c7f8-fb0d-4372-8a0a-17f735c376eb,HD 1091,An Act dedicating one-percent of the recreational marijuana excise tax to youth substance use prevention,['bill'],[],192nd,Massachusetts,lower
ocd-bill/ff4225f0-81cd-41d5-9ad5-a4b8a25f73d8,HD 1144,An Act establishing a child care tax credit,['bill'],[],192nd,Massachusetts,lower
ocd-bill/fa56e167-7147-4753-ac6a-030d4e9f870d,HD 1160,An Act promoting safety for victims of violent crime and human trafficking,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9a555fd2-3e5c-40ef-a8c4-d8a672d4a792,SD 518,An Act relative to Group 2,['bill'],[],192nd,Massachusetts,upper
ocd-bill/c3de60e1-74d9-455d-990b-bf566f1f1f37,HD 1056,An Act relative to an investigation to review flood insurance rates,['bill'],[],192nd,Massachusetts,lower
ocd-bill/42af267b-d7bf-43af-92e1-d36af2d14aed,HD 1089,An Act relative to jet ski safety,['bill'],[],192nd,Massachusetts,lower
ocd-bill/93483582-2728-4967-a53b-5ff4dc81b7ee,SD 520,An Act to allow Saugus town meeting to adopt a process to allow non-binding resolutions,['bill'],[],192nd,Massachusetts,upper
ocd-bill/08a90b2a-3322-4efa-acdb-8d4c5e5aa7ee,HD 1074,An Act instructing the Massachusetts Department of Public Health to study the feasibility of absorbing oversight of all “memory care” assisted living facilities and units in the Commonwealth,['bill'],[],192nd,Massachusetts,lower
ocd-bill/749b32ee-4a3f-4987-bb54-db54a2a3c7e8,HD 1062,"An Act establishing a mandatory sentence for destruction, defacement or damage to burial tombs and grave markers",['bill'],[],192nd,Massachusetts,lower
ocd-bill/e9a3c91c-477a-4a0d-bbdb-0ac3df8775cc,HD 1146,An Act relative to political contributions,['bill'],[],192nd,Massachusetts,lower
