id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/b0b78ba0-c9e4-409e-9e59-f92db83afbfd,H 2523,An Act requiring creditable service for Massachusetts National Guard service,['bill'],[],190th,Massachusetts,lower
ocd-bill/a5879d1f-df70-4343-b8ac-9b09c985e1c3,S 1969,An Act creating a commission to study the feasibility of rapid transit systems,['bill'],[],190th,Massachusetts,upper
ocd-bill/5eb20567-45f4-4ffd-bc1f-53d58e76f3aa,H 398,An Act instructing the Massachusetts Department of Fish & Game to study the feasibility of repurposing the former Moon Island Sewage Treatment Plant for the purposes of fish and shellfish farms,['bill'],[],190th,Massachusetts,lower
ocd-bill/06ebc379-f5e0-408b-9e18-e0c4c48dbd83,S 417,An Act re-establishing the Clean Environment Fund,['bill'],[],190th,Massachusetts,upper
ocd-bill/55f9b8f8-f1cc-4411-99f7-feb9b27b7714,S 2098,An Act naming a certain bridge in the city of Fall River as the Leonard “Lenny” Kaplan Memorial Bridge,['bill'],[],190th,Massachusetts,upper
ocd-bill/fa686901-9f90-4f9f-9349-53bc73536f4e,H 3989,"An Act establishing a sick leave bank for Gary Erskine, an employee of the Department of Public Health",['bill'],[],190th,Massachusetts,lower
ocd-bill/2a02348e-3ff1-41f8-b589-54e0a869724f,S 2232,"An Act enabling taxpayer donations to the Least Developed Countries Fund, an initiative of the U.N. Framework Convention on Climate Change",['bill'],[],190th,Massachusetts,upper
ocd-bill/30a91060-b4ea-488f-b86a-c1a7fdffa3a5,S 1337,An Act establishing the Correctional Officers' Procedural Bill of Rights,['bill'],[],190th,Massachusetts,upper
ocd-bill/bc6de2fa-9975-4707-bcdb-4f1c682c7b17,H 4687,An Act relative to the town meeting of the town of North Reading,['bill'],[],190th,Massachusetts,lower
ocd-bill/ed57ae5a-43ee-44fc-b495-9ebe6c97688d,H 1638,An Act providing property tax relief for certain caregivers,['bill'],[],190th,Massachusetts,lower
ocd-bill/2ca14a67-b0a9-44c2-bc47-51143c92af79,H 4847,An Act relative to raising the income threshold for senior real property tax deferments in the town of Brookline,['bill'],[],190th,Massachusetts,lower
ocd-bill/bea1fa17-40c1-47f2-a396-6ad869f16fe5,S 1843,An Act further promoting energy efficiency and green jobs,['bill'],[],190th,Massachusetts,upper
ocd-bill/1c0a9f07-6a18-4fd3-af9f-d509d0e94dab,SD 2328,Norfolk Sheriff's Office Plan of Action Reports,['bill'],[],190th,Massachusetts,upper
ocd-bill/2f40b933-30a8-4b8e-9493-91e73197ab3d,S 938,An Act relative to crimes against police officers,['bill'],[],190th,Massachusetts,upper
ocd-bill/59da5922-5a1b-4876-95b7-95783082c684,H 3574,An Act expanding coverage of dental procedures,['bill'],[],190th,Massachusetts,lower
ocd-bill/dd9a2e0d-6fd2-4226-8751-71d511c221b2,H 578,An Act advancing and expanding access to telemedicine services,['bill'],[],190th,Massachusetts,lower
ocd-bill/b1f97a8e-c6ac-4051-aef1-bb9dc862a8c1,H 1923,An Act increasing the annuity for gold star families,['bill'],[],190th,Massachusetts,lower
ocd-bill/613fd3c4-091b-45cd-8f1c-482170f56300,H 4074,An Act  establishing a program to promote infant sleep safety,['bill'],[],190th,Massachusetts,lower
