created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2023-02-23 02:05:29.245422+00:00,2024-10-09 23:57:53.699459+00:00,{},ocd-organization/b4d79d20-759a-4f62-8768-6e1ae07d5602,Senate Committee on Global Warming and Climate Change,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S51', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/S51', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S51', 'note': 'homepage'}]","[{'name': 'Senate Committee on Global Warming and Climate Change', 'end_date': '', 'start_date': ''}, {'name': 'Senate Global Warming and Climate Change', 'end_date': '', 'start_date': ''}, {'name': 'Senate Global Warming and Climate Change Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:28.949913+00:00,2024-10-09 23:57:53.000603+00:00,{},ocd-organization/942c57a2-396f-436e-a85a-2833c19f26a5,Senate Committee on Steering and Policy,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S50', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/S50', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S50', 'note': 'homepage'}]","[{'name': 'Senate Committee on Steering and Policy', 'end_date': '', 'start_date': ''}, {'name': 'Senate Steering and Policy', 'end_date': '', 'start_date': ''}, {'name': 'Senate Steering and Policy Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:30.175765+00:00,2024-10-09 23:57:53.624392+00:00,{},ocd-organization/998cfc40-6587-4582-a352-1f99cd6d6062,Senate Committee on Bills in the Third Reading,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S31', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/S31', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S31', 'note': 'homepage'}]","[{'name': 'Senate Bills in the Third Reading', 'end_date': '', 'start_date': ''}, {'name': 'Senate Bills in the Third Reading Committee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Bills in the Third Reading', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:30.477774+00:00,2024-10-09 23:57:53.549979+00:00,{},ocd-organization/274c2aa0-1665-4522-86cb-a8e041c6c8e7,Senate Committee on the Census,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S65', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/S65', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S65', 'note': 'homepage'}]","[{'name': 'Senate Census', 'end_date': '', 'start_date': ''}, {'name': 'Senate Census Committee', 'end_date': '', 'start_date': ''}, {'name': 'Senate Committee on Census', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:23.403625+00:00,2024-10-09 23:57:51.548707+00:00,{},ocd-organization/8dfef1ac-e17c-4fee-922b-60bdf7cba01b,"Joint Committee on Bonding, Capital Expenditures and State Assets",ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J32', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J32', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J32', 'note': 'homepage'}]","[{'name': 'Joint Bonding, Capital Expenditures and State Assets', 'end_date': '', 'start_date': ''}, {'name': 'Joint Bonding, Capital Expenditures and State Assets Committee', 'end_date': '', 'start_date': ''}, {'name': 'Joint Committee on Bonding, Capital Expenditures and State Assets', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:20.884540+00:00,2024-10-09 23:57:51.712860+00:00,{},ocd-organization/936b7a4b-0e57-401c-bbff-20295aa2ad85,Joint Committee on Public Health,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J16', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J16', 'note': 'homepage'}]","[{'name': 'Joint Committee on Public Health', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Health', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Health Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:15.265161+00:00,2024-10-09 23:57:51.875273+00:00,{},ocd-organization/4855a8e3-81b1-4bd9-98fb-a3e16a1bfd9d,Joint Committee on Economic Development and Emerging Technologies,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J12', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J12', 'note': 'homepage'}]","[{'name': 'Joint Committee on Economic Development and Emerging Technologies', 'end_date': '', 'start_date': ''}, {'name': 'Joint Economic Development and Emerging Technologies', 'end_date': '', 'start_date': ''}, {'name': 'Joint Economic Development and Emerging Technologies Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:20.259578+00:00,2024-10-09 23:57:52.028678+00:00,{},ocd-organization/ac40128e-6625-413a-9646-407c402ce0d3,Joint Committee on Education,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J14', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J14', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J14', 'note': 'homepage'}]","[{'name': 'Joint Committee on Education', 'end_date': '', 'start_date': ''}, {'name': 'Joint Education', 'end_date': '', 'start_date': ''}, {'name': 'Joint Education Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:15.887954+00:00,2024-10-09 23:57:52.103423+00:00,{},ocd-organization/fb6517f8-bfa9-4f74-9940-ec3aebdf8e49,Joint Committee on Financial Services,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J11', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J11', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J11', 'note': 'homepage'}]","[{'name': 'Joint Committee on Financial Services', 'end_date': '', 'start_date': ''}, {'name': 'Joint Financial Services', 'end_date': '', 'start_date': ''}, {'name': 'Joint Financial Services Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:23.095603+00:00,2024-10-09 23:57:52.274248+00:00,{},ocd-organization/c634df51-4598-4e8e-951d-e477c1ff308a,Joint Committee on Rules,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J40', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J40', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J40', 'note': 'homepage'}]","[{'name': 'Joint Committee on Rules', 'end_date': '', 'start_date': ''}, {'name': 'Joint Rules', 'end_date': '', 'start_date': ''}, {'name': 'Joint Rules Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:19.024866+00:00,2024-10-09 23:57:52.732597+00:00,{},ocd-organization/d3f3da85-3dc9-46fb-ba1b-c00439dff04f,Joint Committee on Community Development and Small Businesses,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J47', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J47', 'note': 'homepage'}]","[{'name': 'Joint Committee on Community Development and Small Businesses', 'end_date': '', 'start_date': ''}, {'name': 'Joint Community Development and Small Businesses', 'end_date': '', 'start_date': ''}, {'name': 'Joint Community Development and Small Businesses Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:27.760075+00:00,2024-10-09 23:57:53.319717+00:00,{},ocd-organization/ce4cab8c-dd0e-44e4-baed-9a18d583570c,Senate Committee on Post Audit and Oversight,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S48', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S48', 'note': 'homepage'}]","[{'name': 'Senate Committee on Post Audit and Oversight', 'end_date': '', 'start_date': ''}, {'name': 'Senate Post Audit and Oversight', 'end_date': '', 'start_date': ''}, {'name': 'Senate Post Audit and Oversight Committee', 'end_date': '', 'start_date': ''}]"
2017-08-20 09:55:24.270661+00:00,2020-04-29 05:09:51.110953+00:00,{},ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,House,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,lower,[],[],[]
2017-08-20 09:55:24.156456+00:00,2020-04-29 05:09:51.579714+00:00,{},ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,Senate,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,upper,[],[],[]
2023-02-23 02:05:28.059189+00:00,2024-10-09 23:57:53.398682+00:00,{},ocd-organization/79c45e59-3b83-40a4-b307-0ce893b6ed22,Senate Committee on Ways and Means,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S30', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S30', 'note': 'homepage'}]","[{'name': 'Senate Committee on Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'Senate Ways and Means', 'end_date': '', 'start_date': ''}, {'name': 'Senate Ways and Means Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:14.060123+00:00,2024-10-09 23:57:52.501930+00:00,{},ocd-organization/56b9274d-616d-468d-a7ec-446108b29fb6,Joint Committee on Housing,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J28', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J28', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J28', 'note': 'homepage'}]","[{'name': 'Joint Committee on Housing', 'end_date': '', 'start_date': ''}, {'name': 'Joint Housing', 'end_date': '', 'start_date': ''}, {'name': 'Joint Housing Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:30.773074+00:00,2024-10-09 23:57:53.473131+00:00,{},ocd-organization/44fde13c-cb4e-4638-9405-3e27ac35a4e4,Senate Committee on Juvenile and Emerging Adult Justice,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/S66', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/S66', 'note': 'homepage'}]","[{'name': 'Senate Committee on Juvenile and Emerging Adult Justice', 'end_date': '', 'start_date': ''}, {'name': 'Senate Juvenile and Emerging Adult Justice', 'end_date': '', 'start_date': ''}, {'name': 'Senate Juvenile and Emerging Adult Justice Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:14.355899+00:00,2024-10-09 23:57:50.546911+00:00,{},ocd-organization/308b8418-c0b4-4a22-8216-094c5ebfd9d2,Joint Committee on Revenue,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J26', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J26', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J26', 'note': 'homepage'}]","[{'name': 'Joint Committee on Revenue', 'end_date': '', 'start_date': ''}, {'name': 'Joint Revenue', 'end_date': '', 'start_date': ''}, {'name': 'Joint Revenue Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:15.579257+00:00,2024-10-09 23:57:51.231331+00:00,{},ocd-organization/f2ee53c0-8afc-4d28-b19c-4e8022eb70a5,"Joint Committee on Children, Families and Persons with Disabilities",ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J13', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J13', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J13', 'note': 'homepage'}]","[{'name': 'Joint Children, Families and Persons with Disabilities', 'end_date': '', 'start_date': ''}, {'name': 'Joint Children, Families and Persons with Disabilities Committee', 'end_date': '', 'start_date': ''}, {'name': 'Joint Committee on Children, Families and Persons with Disabilities', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:17.468123+00:00,2024-10-09 23:57:51.953111+00:00,{},ocd-organization/d95a5b0b-b5c2-4a8b-9972-5f7c6e5bd091,"Joint Committee on Tourism, Arts and Cultural Development",ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J30', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J30', 'note': 'homepage'}]","[{'name': 'Joint Committee on Tourism, Arts and Cultural Development', 'end_date': '', 'start_date': ''}, {'name': 'Joint Tourism, Arts and Cultural Development', 'end_date': '', 'start_date': ''}, {'name': 'Joint Tourism, Arts and Cultural Development Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:17.775528+00:00,2024-10-09 23:57:50.320423+00:00,{},ocd-organization/728048c4-ef81-4a01-99c2-3926c611d8c9,"Joint Committee on Racial Equity, Civil Rights, and Inclusion",ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J34', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J34', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J34', 'note': 'homepage'}]","[{'name': 'Joint Committee on Racial Equity, Civil Rights and Inclusion', 'end_date': '', 'start_date': ''}, {'name': 'Joint Racial Equity, Civil Rights and Inclusion', 'end_date': '', 'start_date': ''}, {'name': 'Joint Racial Equity, Civil Rights and Inclusion Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:18.096762+00:00,2024-10-09 23:57:50.472189+00:00,{},ocd-organization/6bd23126-2197-4c8e-88b1-b1c5966e4507,"Joint Committee on Mental Health, Substance Use and Recovery",ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J18', 'note': 'Committee List page of malegislature gov site'}, {'url': 'https://malegislature.gov/Committees/Detail/J18', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J18', 'note': 'homepage'}]","[{'name': 'Joint Committee on Mental Health, Substance Use and Recovery', 'end_date': '', 'start_date': ''}, {'name': 'Joint Mental Health, Substance Use and Recovery', 'end_date': '', 'start_date': ''}, {'name': 'Joint Mental Health, Substance Use and Recovery Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:18.717416+00:00,2024-10-09 23:57:52.424892+00:00,{},ocd-organization/3da8568f-5140-4be0-bca1-032cec995818,Joint Committee on Veterans and Federal Affairs,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J31', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J31', 'note': 'homepage'}]","[{'name': 'Joint Committee on Veterans and Federal Affairs', 'end_date': '', 'start_date': ''}, {'name': 'Joint Veterans and Federal Affairs', 'end_date': '', 'start_date': ''}, {'name': 'Joint Veterans and Federal Affairs Committee', 'end_date': '', 'start_date': ''}]"
2023-02-23 02:05:19.957330+00:00,2024-10-09 23:57:51.464854+00:00,{},ocd-organization/4a29c954-d3ef-43e6-99da-47805329fe12,Joint Committee on Public Safety and Homeland Security,ocd-organization/9c4e7b53-9912-4394-a40a-14b5ecdb8aba,ocd-jurisdiction/country:us/state:ma/government,committee,"[{'url': 'https://malegislature.gov/Committees/Detail/J22', 'note': 'Committee Details Page'}]","[{'url': 'https://malegislature.gov/Committees/Detail/J22', 'note': 'homepage'}]","[{'name': 'Joint Committee on Public Safety and Homeland Security', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Safety and Homeland Security', 'end_date': '', 'start_date': ''}, {'name': 'Joint Public Safety and Homeland Security Committee', 'end_date': '', 'start_date': ''}]"
