id,bill_id,related_bill_id,identifier,legislative_session,relation_type
c8915041-965d-42bc-a0d0-105c1458c8a3,ocd-bill/2380b56b-ce20-41e6-b855-4ff4167ed22f,ocd-bill/436e5b30-6a61-4d22-9316-eb0770460f75,HD 5408,193rd,replaces
443a6cec-4c97-4354-924c-f2480df8b8fd,ocd-bill/6885eba7-5ff6-428d-8ade-128c491df546,,HD 5075,193rd,replaces
786fe690-9ea4-44b5-bf4e-bed4d8ac5a63,ocd-bill/dd77251f-bfe4-4906-bc2a-e1f6b5c9807c,ocd-bill/8b6307d2-3b12-4682-80fe-5bdd3cd4bc6b,HD 5263,193rd,replaces
7760ee34-e8a2-48e0-9d3c-d34630a89136,ocd-bill/6a57849f-7014-4ca1-b569-6749109471ff,,HD 5160,193rd,replaces
b2812f02-ac2e-4e6d-9e1d-b3a1cdf7abee,ocd-bill/57e3f0a4-9928-468f-92c2-cdd484da7437,ocd-bill/37a5866d-c3ba-4c02-afce-40592996ea04,HD 5103,193rd,replaces
30d3164a-db5a-4aee-94cd-1e105e128815,ocd-bill/0d3585cd-1488-456b-b8f8-be47e8446c98,ocd-bill/6312c798-396f-436a-bbc2-2dbd3e598066,HD 5108,193rd,replaces
dfaab4fe-9c7d-4d1d-a262-736b1441bf69,ocd-bill/e2d9c54a-3088-4708-a3dd-9da7518c94fe,ocd-bill/06517960-ae41-4047-b46c-e593eab27a3c,SD 2895,193rd,replaces
fc63f94a-cdae-4d8d-9254-4260fc410e60,ocd-bill/701c312f-1c27-47e0-bb43-2278a89a3b19,ocd-bill/69fd8d7e-4a1e-423e-abe6-b3d60210daf6,SD 2995,193rd,replaces
1231c83c-e448-4dea-8580-0ae450ade0d5,ocd-bill/2da68a65-cab0-4c9c-8568-3a61d2ba5612,ocd-bill/ecc35b90-0397-4b33-ba44-d26e1c5589a5,SD 2985,193rd,replaces
77cc6132-b587-4251-a8bb-f9c2053ce042,ocd-bill/2121e7e0-f3b7-4f10-affd-8bde689cb130,ocd-bill/1fe8620d-b27f-433c-bea3-312e854e3473,HD 4859,193rd,replaces
8ea061e7-0d97-45ea-9632-cb13b4011016,ocd-bill/a8b59e1a-37c6-4e8d-a3dd-09526f813a16,,SD 3405,193rd,replaces
0bfeb94a-18b9-4db0-bda5-d5fa5ab37337,ocd-bill/90e3db88-b8d7-4f94-ad85-ff359d494535,,HD 5346,193rd,replaces
8614dbc5-4890-468a-9f7b-5c3da2b25d64,ocd-bill/4edbf2bc-7a05-4318-b2f7-9e5851a31e03,,HD 5345,193rd,replaces
946f801b-5bba-431e-ba96-8e6b9e93f991,ocd-bill/ea93b974-817a-44bc-8e9c-6d01d3237c21,,SD 3402,193rd,replaces
0ba80502-f1c6-4f80-9e16-c691c5dd5187,ocd-bill/80e63e51-ab14-4624-a71f-5e8efed416bc,,SD 3404,193rd,replaces
7c16d3a6-25c4-4aae-b486-c686179a3a13,ocd-bill/7e74e56e-5aac-4c2c-9572-34825dd1dcec,,SD 3408,193rd,replaces
a914d2d8-4f3c-4016-94e1-aa49a36dbf46,ocd-bill/0323687a-beb1-4604-8be7-0ed653cd2618,,SD 3407,193rd,replaces
d52cef11-aa20-4f28-b82b-7a618de561e5,ocd-bill/621be6c4-0e93-43a9-b9c3-40fae46ff335,,SD 3406,193rd,replaces
2f22fd3b-505b-4b01-b060-dba9a157951d,ocd-bill/d829e09d-a1dc-4f1b-a1ec-27ce74701ac3,,HD 5440,193rd,replaces
bacaf6d4-fc7c-4ce7-9b9e-8f59f682eae3,ocd-bill/a8fa47e8-74fe-4a0b-a80d-167fabac6c4a,,HD 5076,193rd,replaces
07add2ef-a02e-4871-bae0-5a5b3e6a9cdc,ocd-bill/b5b95c03-6b67-4998-822b-c5474fb8d139,,SD 3412,193rd,replaces
754c7e51-c07f-4d86-a636-5dd5f7cec249,ocd-bill/3e94f06e-99c1-4fa2-a306-c98b5400dea5,,SD 3497,193rd,replaces
6dd6e833-88c0-4adb-8b01-ce7a8e23e993,ocd-bill/6a70fa81-cb4b-4781-9526-bb7b02d085a6,,SD 3498,193rd,replaces
abfa0d3c-14ce-4e39-8054-336412b88717,ocd-bill/70e3a9b0-f4a3-44bb-9612-c7556d17d2d0,ocd-bill/d74051c1-1621-444b-85c9-c45aebf3debf,HD 5428,193rd,replaces
